epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,588.176,1.90993,1.38139,1.25372,0.68793,0.46415,0.49938,0.16132,2.57658,1.39056,1.45205,0.00412246,0.00412246,0.00412246
170,591.618,1.97649,1.43482,1.30128,0.58704,0.43281,0.43689,0.16125,2.55668,1.30536,1.41832,0.0040716,0.0040716,0.0040716
171,595.084,1.90126,1.36917,1.28589,0.6498,0.50234,0.47963,0.1535,2.55409,1.27885,1.44674,0.00402084,0.00402084,0.00402084
172,598.554,1.87798,1.35747,1.28061,0.6258,0.40005,0.40018,0.1256,2.58566,1.38834,1.47507,0.00397019,0.00397019,0.00397019
173,601.98,1.92051,1.37614,1.28529,0.85143,0.39865,0.47625,0.16032,2.60963,1.26493,1.44341,0.00391966,0.00391966,0.00391966
174,605.399,1.8421,1.28067,1.27329,0.67375,0.46053,0.46166,0.15026,2.53816,1.29261,1.43202,0.00386926,0.00386926,0.00386926
175,608.822,1.90649,1.31599,1.23259,0.60262,0.45858,0.43415,0.12373,2.68785,1.30836,1.47324,0.00381899,0.00381899,0.00381899
176,612.245,1.86046,1.34817,1.24713,0.67811,0.42169,0.43178,0.13241,2.6731,1.33601,1.54781,0.00376885,0.00376885,0.00376885
177,615.676,1.89191,1.38746,1.24148,0.69021,0.40453,0.47187,0.15992,2.5039,1.29783,1.42754,0.00371885,0.00371885,0.00371885
178,619.134,1.92278,1.35903,1.25501,0.64665,0.42135,0.41779,0.14581,2.5804,1.30741,1.52456,0.00366899,0.00366899,0.00366899
179,622.561,1.86357,1.3735,1.28614,0.79794,0.42643,0.46472,0.15672,2.65715,1.28377,1.51735,0.00361929,0.00361929,0.00361929
180,625.964,1.86139,1.32576,1.27287,0.6209,0.45408,0.44184,0.14106,2.63277,1.32555,1.53357,0.00356975,0.00356975,0.00356975
181,629.37,1.87285,1.33662,1.2677,0.8058,0.39289,0.48443,0.16988,2.60503,1.28222,1.42627,0.00352037,0.00352037,0.00352037
182,632.828,1.91346,1.35602,1.25677,0.65482,0.52349,0.50805,0.1791,2.5595,1.18463,1.409,0.00347115,0.00347115,0.00347115
183,636.436,1.90653,1.37112,1.22128,0.70048,0.45197,0.47984,0.16364,2.53377,1.202,1.39202,0.00342211,0.00342211,0.00342211
