epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,13369.1,1.06413,0.53659,1.02551,0.95387,0.96212,0.97458,0.70993,1.02221,0.47759,1.03968,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13519.5,1.06938,0.53476,1.02451,0.95385,0.96181,0.97444,0.70883,1.02102,0.47806,1.03932,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13660.9,0.98283,0.44628,1.0197,0.95552,0.96334,0.97462,0.7099,1.02087,0.47936,1.03913,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13799.7,0.97555,0.4386,1.02106,0.95671,0.96277,0.97478,0.7106,1.01997,0.47876,1.03903,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13939.4,0.96922,0.43165,1.01792,0.95678,0.96277,0.975,0.71135,1.01954,0.47846,1.03901,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14076.4,0.9647,0.43022,1.01463,0.95674,0.96277,0.97533,0.71089,1.01961,0.47779,1.03972,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14215.8,0.95649,0.42882,1.01014,0.95451,0.96277,0.97563,0.71198,1.01918,0.47836,1.03989,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14355.4,0.9539,0.42547,1.00861,0.95675,0.96362,0.97597,0.71213,1.01952,0.4777,1.04005,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14492.2,0.95513,0.42323,1.01293,0.95617,0.96362,0.97613,0.71146,1.01954,0.47703,1.03978,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14632.1,0.94712,0.42081,1.01001,0.95609,0.96362,0.97619,0.71109,1.02028,0.47729,1.04052,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14769.1,0.9466,0.41999,1.00446,0.95611,0.96362,0.97618,0.71109,1.02037,0.47836,1.04012,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14908.9,0.9373,0.41282,1.00654,0.95539,0.96277,0.97611,0.71255,1.01995,0.47772,1.03989,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
